function,file,line,package,verdict,design_score,test_score,quality_score,test_quality,tests_executing,direct_tests,cov_all_pct,mutants_killed,mutants_total,trivial,verified,top_issue
newHostkeyVerifyCommand,internal/cli/hostkey.go,210,internal/cli,nit,4,2,6,weak,339,TestHostkeyVerifyReportsARevokedKey,65.0,3,8,False,,"plural() fixes only the noun, which gives '1 host offer a revoked key' and '1 host are not in the file'. L280 prints '1 hosts did not answer'."
newHostkeyRefreshCommand,internal/cli/hostkey.go,289,internal/cli,nit,4,2,6,weak,339,TestHostkeyRefreshKeepsNotesAndRevocations,74.5,2,8,False,,The block duplicates dryRunOrError (and remove repeats it at L394-403). L366 prints '1 hosts did not answer'.
newHostkeyRemoveCommand,internal/cli/hostkey.go,375,internal/cli,bug,2,2,4,weak,339,TestHostkeyRemoveTakesTheInventoryBMCAddress,75.0,2,8,False,upheld,Reproduced: a file with 'exe0003 …' (the node's legacy short name) and the exe0003 BMC key. `hostkey remove --bmc -y -n exe0003` removed both and reported 'exe0003.mgmt.hpc.example.org 2'. The node's key was deleted although only the service processor was asked for.
newHostkeyListCommand,internal/cli/hostkey.go,437,internal/cli,bug,2,2,4,weak,339,TestHostkeyListReadsTheConfiguredFile,73.3,4,6,False,upheld,"Reproduced: a file with a trusted key, an '@revoked' key for exe0002 and an '@cert-authority *.hpc…' line lists as three plain rows. The revoked key appears as a second trusted key of exe0002, which misleads anyone auditing the site's trust anchor."
anyRevoked,internal/cli/hostkey.go,464,internal/cli,good,5,4,9,strong,2,TestHostkeyVerifyReportsARevokedKey TestHostkeyRefreshKeepsNotesAndRevocations,100.0,3,3,False,,
matches,internal/cli/hostkey.go,474,internal/cli,nit,4,0,4,none,0,,0.0,,,False,,"`matches(known, found[host])` gives no hint of direction. Swapping the arguments changes the meaning, and nothing would catch it because the function is untested."
abbreviate,internal/cli/hostkey.go,491,internal/cli,nit,4,1,5,incidental,4,,66.7,0,1,False,,"The kept prefix encodes the algorithm name and never differs between keys of one type, which wastes half the shown text. Administrators compare against the SHA256 fingerprints that ssh prints."
plural,internal/cli/hostkey.go,498,internal/cli,good,5,1,6,incidental,2,,66.7,0,1,False,,
loginFlags.register,internal/cli/login.go,28,internal/cli,nit,4,2,6,weak,339,,100.0,,,True,,"`login --help` lists `-J, --jump string  role or host to jump through` as a working option. The refusal and the proxyJump advice only show up when a user tries it."
loginFlags.apply,internal/cli/login.go,40,internal/cli,nit,4,1,5,incidental,6,,55.6,0,5,False,,`login -u bob -r mgmt` logs in as root without a word; the contradiction is resolved silently.
loginFlags.ttyMode,internal/cli/login.go,58,internal/cli,good,5,2,7,weak,5,,40.0,0,2,False,,
resolveTarget,internal/cli/login.go,73,internal/cli,bug,2,2,4,weak,6,TestANodeNamedLikeARoleDoesNotLogInWithTheRoleAccount,42.9,0,3,False,upheld,"`clusterctl login exe1` runs ssh to alice_adm@exe1.hpc.example.org, but `exec -n exe1` targets exe0001.hpc.example.org. That is the non-inventory name Report 4.17 removed from describe."
defaultRole,internal/cli/login.go,89,internal/cli,nit,4,0,4,none,0,,0.0,,,False,,"On a site whose roles are dhcp, install and pool, a bare `clusterctl login` opens a root shell on dhcp01. The help promises the login role."
newLoginCommand,internal/cli/login.go,102,internal/cli,nit,4,3,7,adequate,339,TestLoginRejectsASecondName TestLoginRejectsTheJumpFlag TestNoTerminalRunsSshInBatchMode,87.5,5,8,False,,"The help says 'With no argument the login role is used', but defaultRole falls back to mgmt and then to any role."
newMCPCommand,internal/cli/mcp.go,21,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
newMCPServeCommand,internal/cli/mcp.go,29,internal/cli,rework,3,1,4,incidental,339,,37.5,0,5,False,upheld,"The --set parsing and fanout handling are copied from root.App and have diverged. `mcp serve --fanout 0` or `--fanout -1` is accepted and the configured fanout used; root refuses both, with a comment explaining why. `--set defaultUser` gives 'got null, want string' instead of '--set takes PATH=VALUE'."
CommandTree,internal/cli/mcp.go,102,internal/cli,good,4,4,8,strong,38,TestReadCommandOffersNoShellBuiltins TestReadCommandIgnoresTheNodesVariable TestReadCommandReachesOnlyTheSitesHosts,100.0,2,3,False,,
newNodeCommand,internal/cli/node.go,22,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
newNodeListCommand,internal/cli/node.go,38,internal/cli,bug,2,3,5,adequate,339,TestNodeListWithMixedWidths TestOutputFormats,94.7,4,8,False,upheld,"`node list -n exe[1-2]` prints all 13 inventory nodes, but `-o nodeset` prints exe[0001-0002]. The node-sets guide says -n always wins and is never ignored, and slurm node list always calls SelectOptional."
newNodeDescribeCommand,internal/cli/node.go,78,internal/cli,bug,2,4,6,strong,339,TestNodeDescribeUsesTheInventoryName TestNodeDescribeShowsNamesAndGroups,85.7,5,7,False,upheld,"`node describe EXE0001` or `node describe exe0001.hpc.example.org` prints 'is not in the inventory' and shows no address, rack, attributes or groups. `node groups EXE0001` finds exe0001's groups."
newNodeSelectCommand,internal/cli/node.go,139,internal/cli,nit,4,3,7,adequate,339,TestNodeSelectEvaluatesGroupsAndOperators,75.0,5,8,False,,"`node select exe[1-3] -c -e` prints 3 with no warning. The codebase elsewhere reports contradictory flags, such as login -t -T."
newNodeFQDNCommand,internal/cli/node.go,185,internal/cli,good,5,4,9,strong,339,TestNodeFQDNAppliesTheNamingRules TestBMCNamesTheMachineThatWasMeant,100.0,7,8,False,,
newNodeGroupsCommand,internal/cli/node.go,219,internal/cli,good,5,3,8,adequate,339,TestNodeGroupsListsTheSources TestNodeGroupsKeepsWhatTheOtherSourcesFound TestNodeGroupsFindsTheMachineOfAnySpelling TestNodeGroupsRefusesWhatIsNotOneNode,84.2,4,8,False,,
newNodeAttrsCommand,internal/cli/node.go,286,internal/cli,good,5,3,8,adequate,339,TestNodeAttrsAndRack,95.5,5,6,False,,
newNodeRackCommand,internal/cli/node.go,323,internal/cli,nit,4,3,7,adequate,339,TestNodeAttrsAndRack TestRackAttributeIsNotOverwritten,95.7,6,8,False,,"`node rack EXE0001` or `node rack exe0001.hpc.example.org` fails with 'no rack or node named', though node groups accepts those spellings of the same machine."
newNodeHardwareCommand,internal/cli/node.go,382,internal/cli,nit,4,2,6,weak,339,TestNodeHardwareParsesWhatTheNodesReport TestNodeHardwareReportsEveryFailedNode,89.5,3,8,False,,The record is parsed inline in both the table row and the object literal; a field-index slip goes unnoticed (see tests).
groupsError,internal/cli/node.go,471,internal/cli,good,5,4,9,strong,6,TestNodeGroupsKeepsWhatTheOtherSourcesFound,100.0,,,True,,
addIf,internal/cli/node.go,478,internal/cli,nit,4,2,6,weak,4,,100.0,,,True,,"A reader of `addIf(t, ""bmc"", bmc)` has to open the function to learn the condition."
sortedMapKeys,internal/cli/node.go,484,internal/cli,nit,4,2,6,weak,15,,100.0,,,True,,"This is the third copy of the same generic helper in the repo, and Go 1.26 has slices.Sorted(maps.Keys(m))."
newSecretsCommand,internal/cli/provision.go,38,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
newSecretsListCommand,internal/cli/provision.go,52,internal/cli,good,5,3,8,adequate,339,TestSecretsListShowsWhereEachFileLands,93.3,4,5,False,,
newSecretsPushCommand,internal/cli/provision.go,78,internal/cli,bug,2,3,5,adequate,339,TestSecretsPushDecryptsBeforeItAsks TestSecretsPushReportsAnUnreachableNode TestSecretsPushKeepsAnInterrupt TestSecretsPushReplacesTheFileWhole TestSecretsPushStreamsASecretRef,86.8,6,8,False,upheld,"gone is set from failed[tg.Name], the node's first failure. A node that refused secret 1 and is unreachable for secret 2 is contacted again for every later secret, each time waiting out the connect timeout, although the help says it is not tried again. A probe with 3 secrets contacted exe0002 3 times."
secretScript,internal/cli/provision.go,196,internal/cli,nit,4,3,7,adequate,4,TestSecretsPushReplacesTheFileWhole,80.0,1,3,False,,"Parallel implementation of cincWriteScript (575-595) with small differences: this one has no -- before paths and does not normalise wc output, while cincWriteScript has no HUP/INT/TERM/PIPE trap. A fix made to one can easily miss the other."
pushStatus,internal/cli/provision.go,224,internal/cli,nit,4,2,6,weak,4,TestSecretsPushReportsAnUnreachableNode,87.5,3,3,False,,"The stderr-then-Err-then-exit-code chain is repeated in cincDetail (598-606), failureDetail (helpers.go) and sshReason, each with slightly different rules."
pushError,internal/cli/provision.go,240,internal/cli,good,5,3,8,adequate,2,TestSecretsPushKeepsAnInterrupt,66.7,2,3,False,,
nodeUnreachable,internal/cli/provision.go,248,internal/cli,nit,4,3,7,adequate,2,TestSecretsPushReportsAnUnreachableNode,100.0,1,1,False,downgraded,"Callers treat true as 'unreachable'. After Ctrl-C, line 164 prints 'skipped: the node could not be reached' for every later secret, and pushFailures codes the error 3, so MCP (which uses exitcode.From) reports an interrupted push as unreachable. Verified by a probe."
pushFailures,internal/cli/provision.go,256,internal/cli,nit,4,3,7,adequate,4,TestSecretsPushReportsAnUnreachableNode TestSecretsPushKeepsAnInterrupt,100.0,4,5,False,,"If every failure is an interrupt, the error carries code 3. The CLI exits 130 only because report() checks errors.Is; exitcode.From consumers such as MCP see 3. failureError sets Interrupted explicitly."
newSecretsCheckCommand,internal/cli/provision.go,279,internal/cli,good,5,3,8,adequate,339,TestSecretsCheckReadsTheSecretsWithoutAKey TestSecretsTrustOnlyTheConfiguredKeyTypes TestCommandsWithoutASecretNeedNoSops TestSecretValuesAreNotParsedTwice TestSecretsWithoutATerminalUseOnlyTheWorkstationIdentities,98.0,5,8,False,,
secretRefsOf,internal/cli/provision.go,366,internal/cli,nit,4,1,5,incidental,8,,100.0,2,2,False,,"The same enumeration exists in config.secretRefs. If a future secretRef field is added only there, secrets check under-reports USED and no test notices."
newCincCommand,internal/cli/provision.go,381,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
cincConfigPath,internal/cli/provision.go,392,internal/cli,nit,4,3,7,adequate,9,,66.7,,,True,,"The Go fallback repeats defaults.yaml:90. If the default changes there, the two disagree, and no test ever runs this line."
cincSolo.render,internal/cli/provision.go,416,internal/cli,good,5,5,10,strong,3,TestCincConfigWritesAFileSafeToSource,100.0,1,1,False,,
cincSolo.check,internal/cli/provision.go,425,internal/cli,good,5,4,9,strong,8,TestCincConfigRejectsWhatIsNotAnArchiveURL,100.0,5,5,False,,
checkCincURL,internal/cli/provision.go,437,internal/cli,good,5,4,9,strong,8,TestCincConfigRejectsWhatIsNotAnArchiveURL,90.9,6,6,False,,
checkCincRunList,internal/cli/provision.go,456,internal/cli,good,5,4,9,strong,9,TestCincConfigRejectsWhatIsNotAnArchiveURL,100.0,2,2,False,,
parseCincSolo,internal/cli/provision.go,468,internal/cli,rework,3,2,5,weak,6,TestCincRunPassesTheFileAsArguments TestCincRunRefusesAFileThatIsNotPlainAssignments TestCincConfigWritesAFileSafeToSource,88.9,3,7,False,upheld,"The doc says a file that sourcing would make do more than assign is refused, and the cinc show/run help promise that any non-plain-assignment file fails. A probe showed 'CHEF_RECIPE_URL=http://x/a.tgz\nOTHER=$(reboot)' parses cleanly, so cinc show reports the node as configured with exit 0."
isShellName,internal/cli/provision.go,497,internal/cli,good,5,2,7,weak,6,,80.0,2,6,False,,
shellLiteral,internal/cli/provision.go,514,internal/cli,good,5,3,8,adequate,7,TestCincFileRoundTrips,86.2,5,8,False,,
cincReadScript,internal/cli/provision.go,564,internal/cli,good,5,1,6,incidental,5,,100.0,,,False,,
cincWriteScript,internal/cli/provision.go,575,internal/cli,nit,4,5,9,strong,3,TestCincConfigReplacesTheFileWhole TestCincConfigWritesAFileSafeToSource,100.0,,,False,,"Near-duplicate of secretScript (196-220). The two diverge on signal traps, -- guards and wc normalisation, with no shared builder."
cincDetail,internal/cli/provision.go,598,internal/cli,nit,4,2,6,weak,1,TestCincShowReportsNodesItCouldNotRead,40.0,0,2,False,,"This is the fourth copy of the stderr/Err/exit-code reason chain in the package (see pushStatus, failureDetail, sshReason)."
cincRefused,internal/cli/provision.go,610,internal/cli,good,4,3,7,adequate,2,,100.0,,,True,,
cincFailureError,internal/cli/provision.go,616,internal/cli,rework,3,2,5,weak,8,TestCincShowReportsNodesItCouldNotRead,100.0,4,4,False,upheld,"The doc says this differs from failureError by exiting 3 for an unreachable node, but failureError (helpers.go:158-159) already does that: replacing the body with failureError passes every test. With one interrupted node and one unreachable node, it returns code 3 where failureError returns 130; MCP (via exitcode.From) then reports 'unreachable'."
newCincConfigCommand,internal/cli/provision.go,629,internal/cli,nit,4,2,6,weak,339,TestCincConfigWritesAFileSafeToSource TestCincConfigRejectsWhatIsNotAnArchiveURL TestCincConfigReplacesTheFileWhole TestCincConfigSendsTheFileOverStdin,82.8,3,8,False,,"NodeTargets runs after the confirmation. An address that fails to resolve is reported only after the user says yes, and a dry run never surfaces it, whereas secrets push resolves targets before asking."
newCincShowCommand,internal/cli/provision.go,700,internal/cli,nit,4,3,7,adequate,339,TestCincShowReportsNodesItCouldNotRead TestCincShowFlagsAFileItCannotRead TestCincShowReadsTheNodeConfiguration,89.2,5,8,False,,"Same read request (cincReadScript, Timeout().Get(), TTYNone) and parse-then-check sequence as newCincRunCommand L799-842; the two copies can drift, e.g. in how an empty file is treated."
newCincRunCommand,internal/cli/provision.go,769,internal/cli,nit,4,2,6,weak,339,TestCincRunPassesTheFileAsArguments TestCincRunRefusesAFileThatIsNotPlainAssignments TestCincRunDryRunNamesTheReadItSkips,84.2,3,8,False,,"The read-and-parse block duplicates newCincShowCommand, and the long closure mixes reading, validation, argv building and result merging."
newCincShellCommand,internal/cli/provision.go,878,internal/cli,good,5,1,6,incidental,339,,33.3,,,True,,
newProvisionCommand,internal/cli/provision.go,887,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
newProvisionReinstallCommand,internal/cli/provision.go,900,internal/cli,good,5,3,8,adequate,339,TestReinstallReinstalls TestReinstallAsksSlurmFirst TestReinstallResolvesEverythingBeforeTheFirstChange TestReinstallDryRunChecksThePXEHost TestReinstallPreviewListsEveryBootPath TestDryRunChangesNothing,92.3,6,8,False,,
reinstallNode.note,internal/cli/provision.go,1051,internal/cli,good,4,1,5,incidental,7,,100.0,,,True,,
reinstallNode.linked,internal/cli/provision.go,1058,internal/cli,good,5,2,7,weak,5,,100.0,,,True,,
reinstallNode.overridden,internal/cli/provision.go,1066,internal/cli,good,5,2,7,weak,5,,100.0,,,True,,
planReinstall,internal/cli/provision.go,1085,internal/cli,nit,4,3,7,adequate,12,TestReinstallResolvesEverythingBeforeTheFirstChange TestReinstallReadsDHCPOnce TestProvisionReinstallRefusesANodeNamedOnlyInAComment,90.6,6,8,False,,"It compares a lowercased, trimmed order[0] with the literal ""redfish"" instead of app.TransportRedfish, repeating the normalization App.BMCTransports already does."
reinstallPlan.run,internal/cli/provision.go,1149,internal/cli,good,5,4,9,strong,7,TestReinstallReinstalls TestReinstallDisarmsWhatItArmed TestReinstallWithoutResetSaysTheSetIsArmed,97.4,6,8,False,,
sendToBMCs,internal/cli/provision.go,1215,internal/cli,good,5,3,8,adequate,7,,100.0,1,2,False,,
reinstallPlan.settle,internal/cli/provision.go,1232,internal/cli,good,5,3,8,adequate,7,,100.0,2,4,False,,
reinstallPlan.fail,internal/cli/provision.go,1251,internal/cli,nit,4,4,8,strong,3,TestReinstallDisarmsWhatItArmed,94.6,6,8,False,,"At call sites `return p.fail(a, step, err, nodes)` looks like pure error construction, but it performs remote rollback. The doc comment is the only hint."
armedAdvice,internal/cli/provision.go,1310,internal/cli,good,5,4,9,strong,3,TestReinstallWithoutResetSaysTheSetIsArmed TestReinstallDisarmsWhatItArmed,100.0,3,5,False,,
reinstallPlan.inState,internal/cli/provision.go,1335,internal/cli,good,5,3,8,adequate,7,,100.0,1,1,False,,
reinstallPlan.caption,internal/cli/provision.go,1346,internal/cli,nit,4,4,8,strong,7,TestReinstallWithoutResetSaysTheSetIsArmed TestReinstallReinstalls,100.0,2,2,False,,The caller passes the same noReset flag to run and caption. Storing it on reinstallPlan would drop both flag parameters and the duplicated inState call.
orDash,internal/cli/provision.go,1357,internal/cli,nit,4,1,5,incidental,7,,100.0,,,True,,"orDash, orUnknown (L1592) and orNone (boot.go L530) are identical apart from the literal; Go 1.22+ cmp.Or does exactly this."
stepOutcome,internal/cli/provision.go,1365,internal/cli,good,5,3,8,adequate,7,TestAChangedCertificateIsOneFailureInEveryCommand,80.0,1,1,False,,
nodeFailures,internal/cli/provision.go,1381,internal/cli,nit,4,3,7,adequate,7,,100.0,1,1,False,,"The contract (the code that tells the most) is documented on the adapter, not on namedFailures/codeWeight, which implement it and are also used by provision status."
namedFailures,internal/cli/provision.go,1389,internal/cli,nit,4,3,7,adequate,8,,93.8,4,5,False,,"A second exit-code priority policy beside failureError (helpers.go), which ranks inline and ignores Usage. The two can diverge silently."
codeWeight,internal/cli/provision.go,1413,internal/cli,nit,4,2,6,weak,4,,66.7,,,False,,No doc comment; the ordering rationale only appears on nodeFailures.
provisionState.fail,internal/cli/provision.go,1447,internal/cli,good,5,2,7,weak,2,,66.7,0,2,False,,
newProvisionStatusCommand,internal/cli/provision.go,1459,internal/cli,bug,2,2,4,weak,339,TestProvisionStatusReportsEveryNode TestAPanicOnOneProcessorFailsOnlyThatNode,78.5,3,8,False,upheld,"Ctrl-C while the uptime probes run (up to 30s each) makes RunEach return context.Canceled results. These only set SSHError; s.err stays nil, RunE returns nil and the process exits 0, not 130 as doc/architecture.md promises. Reproduced with a scratch test."
orUnknown,internal/cli/provision.go,1592,internal/cli,nit,4,1,5,incidental,2,,100.0,,,True,,Third copy of the same default-string helper in the package.
sshReason,internal/cli/provision.go,1600,internal/cli,rework,3,0,3,none,0,,0.0,,,False,upheld,"It re-implements failureDetail with the opposite line choice. For ssh exit 255 with a pre-auth banner, it reports the banner, not the 'Permission denied' line that res.Err carries, so the same failure reads differently than in other commands."
root.App,internal/cli/root.go,57,internal/cli,good,5,4,9,strong,279,TestSetOverridesConfiguration TestFanoutBelowOneIsRefused,94.4,7,8,False,,
root.nodesFromFlagOrEnv,internal/cli/root.go,110,internal/cli,good,5,3,8,adequate,279,TestAnEmptyNodesFlagDoesNotFallBackToTheEnvironment TestTheNodesFlagIsGivenOnce TestTheEnvironmentAppliesWithoutNodesFlag TestReadCommandIgnoresTheNodesVariable,100.0,5,8,False,,
root.context,internal/cli/root.go,131,internal/cli,good,5,3,8,adequate,277,,66.7,,,True,,
NewRootCommand,internal/cli/root.go,143,internal/cli,nit,4,4,8,strong,300,TestCommandTreeBuilds,100.0,,,False,downgraded,"An exported constructor writes every tree into an unsynchronized global map that is never cleared: a hidden side effect that retains memory and races for concurrent callers. Its only reader, build() in cli_test.go, builds the tree itself and could call newRoot directly."
newRoot,internal/cli/root.go,150,internal/cli,good,5,4,9,strong,339,TestUsageErrorsExitTwo TestGroupWithoutArgumentsPrintsHelp,100.0,6,6,False,,
builtins,internal/cli/root.go,231,internal/cli,good,5,5,10,strong,339,TestBuiltinsStillWork TestBuiltinUsageErrorsExitTwo TestCompletionOfTheBuiltins,100.0,1,1,False,,
noSubcommand,internal/cli/root.go,256,internal/cli,good,5,5,10,strong,6,TestUnknownSubcommandIsNamed TestUsageErrorsExitTwo TestGroupWithoutArgumentsPrintsHelp,100.0,2,2,False,,
helpTopic,internal/cli/root.go,268,internal/cli,good,4,4,8,strong,2,TestBuiltinUsageErrorsExitTwo TestBuiltinsStillWork,85.7,4,5,False,,
suggest,internal/cli/root.go,283,internal/cli,good,4,4,8,strong,3,TestUnknownSubcommandIsNamed,100.0,1,2,False,,
usageArgs,internal/cli/root.go,296,internal/cli,good,5,4,9,strong,339,TestUsageErrorsExitTwo TestBuiltinUsageErrorsExitTwo,100.0,3,4,False,,
Execute,internal/cli/root.go,313,internal/cli,good,5,3,8,adequate,0,,100.0,,,True,,
execute,internal/cli/root.go,324,internal/cli,good,5,5,10,strong,11,TestUsageErrorsExitTwo TestInterruptedCommandExits130 TestBuiltinsStillWork,100.0,,,True,,
report,internal/cli/root.go,343,internal/cli,good,5,4,9,strong,10,TestReportKeepsLinesAndExitCode TestReportEscapesTheError,90.0,3,3,False,,
newVersionCommand,internal/cli/root.go,361,internal/cli,good,5,3,8,adequate,339,TestVersionPrintsProvenance,100.0,5,5,False,,
newSlurmCommand,internal/cli/slurm.go,23,internal/cli,good,5,4,9,strong,339,,100.0,,,True,,
slurmClient,internal/cli/slurm.go,41,internal/cli,nit,4,3,7,adequate,23,,100.0,,,True,,"Pure alias of a.Slurm(): it adds no logic and serves as no test seam. The code reaches the client two ways, slurmClient here and a.Slurm() in mcpserver/plan.go and read.go."
statesFor,internal/cli/slurm.go,45,internal/cli,nit,4,4,8,strong,5,TestSlurmStateGroupsMatchTheReportedState,100.0,,,True,,"The wrapper adds nothing over slurm.States, and other code calls slurm.States directly."
newSlurmNodeCommand,internal/cli/slurm.go,47,internal/cli,good,5,4,9,strong,339,TestGroupWithoutArgumentsPrintsHelp TestUnknownSubcommandIsNamed,100.0,,,True,,
newSlurmNodeListCommand,internal/cli/slurm.go,58,internal/cli,good,5,3,8,adequate,339,TestSlurmNodeListParsesTheClientOutput TestSlurmNodeListShowsNoReasonForHealthyNodes TestSlurmOutputCannotBeForgedThroughAReason,92.0,5,8,False,,
stateGroupNames,internal/cli/slurm.go,113,internal/cli,good,5,1,6,incidental,339,,100.0,,,False,,
newSlurmNodeDrainCommand,internal/cli/slurm.go,123,internal/cli,nit,4,4,8,strong,339,TestSlurmDrainNeedsAReasonAndConfirmation TestSlurmDrainQuotesTheReason TestSlurmDrainRefusesBadReasonsBeforeTheGate TestSlurmDrainRefusesAReasonThatNamesNodes TestSlurmDrainDryRunChecksTheSetAndSendsNothing TestSlurmChangesRefuseNamesSlurmExpands,95.0,7,8,False,,"The inline `if safety.IsDryRun(err) { return nil }; return err` duplicates helpers.dryRunOrError, which is called 15 times elsewhere in the package."
newSlurmNodeResumeCommand,internal/cli/slurm.go,175,internal/cli,nit,4,3,7,adequate,339,TestSlurmChangesRefuseNamesSlurmExpands TestSlurmFailuresKeepSlurmsMessageAndTheRightCode,60.0,4,7,False,,The same inline dry-run handling as drain duplicates helpers.dryRunOrError.
slurmNodes,internal/cli/slurm.go,208,internal/cli,nit,4,4,8,strong,9,TestSlurmChangesRefuseNamesSlurmExpands TestSlurmDrainDryRunChecksTheSetAndSendsNothing,88.9,5,6,False,,"`c, ns, err := slurmNodes(a, args)` does not show that the call runs sinfo to verify the set, or that it also yields the client."
reasonNamesNodes,internal/cli/slurm.go,226,internal/cli,rework,3,4,7,strong,9,TestSlurmDrainRefusesAReasonThatNamesNodes,83.3,3,4,False,upheld,"Verified: `drain 'ECC errors on exe0007, ticket 42' -n exe0007` is refused with 'give the reason first and quote it', although the user did exactly that. '@alice check fan' is also refused. The check flags any mention of a node, not only a forgotten reason."
newSlurmNodesetCommand,internal/cli/slurm.go,237,internal/cli,nit,4,3,7,adequate,339,TestSlurmStateGroupsMatchTheReportedState TestSlurmOutputCannotBeForgedThroughAReason,77.8,5,8,False,,"The help says 'nothing is printed' when no node matches, but say() writes ""\n"". That adds a blank line when piped to wc -l or read in a loop."
newSlurmJobCommand,internal/cli/slurm.go,274,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
newSlurmJobListCommand,internal/cli/slurm.go,284,internal/cli,good,5,1,6,incidental,339,,21.4,0,8,False,,"The RunE never runs in any test, so filter building, the NODESET/-n path and the table mapping are unverified."
newSlurmJobHistoryCommand,internal/cli/slurm.go,351,internal/cli,good,5,2,7,weak,339,TestSlurmJobHistoryWindowIsRelative,77.4,1,8,False,,
newSlurmJobSummaryCommand,internal/cli/slurm.go,418,internal/cli,nit,4,2,6,weak,339,TestSlurmJobSummaryCountsPerUser,87.9,0,8,False,,"The only assertion is Index(alice) <= Index(bob). It passes when both rows are missing (-1 > -1 is false), and no count is checked."
newSlurmAccountCommand,internal/cli/slurm.go,478,internal/cli,nit,4,2,6,weak,339,TestSlurmAccountingChangesNameTheCluster TestSlurmAccountingRefusesNamesSacctmgrExpands TestSlurmPartitionAndAccounts TestAccountingChangeIsNotANodeTheInventoryLacks,54.9,3,8,False,,"Five inline closures in one constructor break the per-leaf constructor pattern the node and job groups use, and make the function long."
newSlurmUserCommand,internal/cli/slurm.go,645,internal/cli,nit,4,3,7,adequate,339,TestSlurmUserAddDryRunChecksTheDirectory TestSlurmUserAddSetsTheDefaultAccountOfAnExistingUser TestSlurmUserAddPreviewResolvesTheDefaults TestSlurmUserAddChecksTheDirectoryFirst TestSlurmUserAddPreviewEscapesWhatSlurmSaid TestSlurmAccountingChangesNameTheCluster,64.2,4,8,False,,"add returns validation errors one at a time, while default joins them and wraps them as Usage again. The same inconsistency as in the account command, inside one file."
newSlurmPartitionCommand,internal/cli/slurm.go,767,internal/cli,good,5,2,7,weak,339,TestSlurmPartitionAndAccounts,78.6,4,8,False,,
confirmAccounting,internal/cli/slurm.go,807,internal/cli,good,5,4,9,strong,3,TestSlurmAccountingChangesNameTheCluster,100.0,2,3,False,,
confirmChange,internal/cli/slurm.go,817,internal/cli,nit,4,4,8,strong,6,TestSlurmUserAddPreviewEscapesWhatSlurmSaid TestSlurmUserAddDryRunChecksTheDirectory,100.0,2,4,False,,"The IsDryRun branch changes nothing: Gate.Confirm already returns ErrDryRun, and report() maps it to exit 0."
first,internal/cli/slurm.go,827,internal/cli,good,5,1,6,incidental,1,,66.7,,,True,,
newTunnelCommand,internal/cli/tunnel.go,19,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
manager,internal/cli/tunnel.go,33,internal/cli,nit,4,3,7,adequate,5,TestTunnelStartUsesTheGeneratedSSHConfiguration,81.8,2,3,False,,`manager(a)` does not say which manager among the package's many subsystems.
newTunnelListCommand,internal/cli/tunnel.go,61,internal/cli,nit,4,1,5,incidental,339,,11.1,0,4,False,,The RunE is never executed by any test.
newTunnelStatusCommand,internal/cli/tunnel.go,84,internal/cli,good,5,2,7,weak,339,TestTunnelStopLeavesAnUnrelatedProcessAlone,83.3,0,6,False,,
newTunnelStartCommand,internal/cli/tunnel.go,116,internal/cli,nit,4,3,7,adequate,339,TestTunnelStartDryRunShowsTheCommand TestTunnelStartUsesTheGeneratedSSHConfiguration TestTunnelStartRefusesAnExcludeThatExpandsToNothing,68.8,3,6,False,,"Exit 3 promises that a host could not be reached. Running `tunnel start ipmi` twice makes the second exit 3 with 'already running', so a script would blame the network."
newTunnelStopCommand,internal/cli/tunnel.go,150,internal/cli,good,5,3,8,adequate,339,TestTunnelStopLeavesAnUnrelatedProcessAlone TestTunnelStopRefusesAnUnknownName,68.8,5,6,False,,
completeTunnels,internal/cli/tunnel.go,178,internal/cli,bug,2,1,3,incidental,339,,20.0,0,1,False,upheld,"Verified in a scratch copy: with --config on the line, `__complete tunnel start ''` offers nothing, because r.App() fails with 'a second Cluster'. completionApp(r) returns [internal ipmi]. completionApp's own doc describes this exact failure."
Origin.String,internal/config/document.go,35,internal/config,nit,4,2,6,weak,329,,75.0,1,5,False,,"The doc says String renders the origin the way --show-sources prints it. show-sources (cli/config.go:328-331) and explainTable (474-478) format file:line:col themselves, with the layer in a separate column, so the same formatting exists in three places."
Document.Position,internal/config/document.go,70,internal/config,good,5,3,8,adequate,357,,100.0,2,3,False,,
ParseDocuments,internal/config/document.go,86,internal/config,bug,2,3,5,adequate,360,TestParseDocumentsRejectsBadInput TestLeadingZeroStaysAString,90.5,6,8,False,upheld,"goccy returns only two docs for 'a: 1\n---\n# old\n---\nb: 2', the second with Body nil; L94 skips it and b is lost silently. Verified: a file holding a Site, a comment-only document and a Cluster loads with no Cluster and no error."
Document.convert,internal/config/document.go,119,internal/config,nit,4,2,6,weak,360,TestParseDocumentsRejectsBadInput,65.5,4,7,False,,"Errors such as 'anchors and aliases are not supported ... (at a[1])' carry no line:column, unlike goccy's own errors and the line reporting ADR 0003 promises. A problem at the root prints '(at )'."
